DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,1/5/2015,AA,141,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,1400,1659,179,1,11,1755,2048,173,1,11,2556,2,0,0,0,171
1,1/5/2015,AA,58,12758,1275803,32758,"Kona, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1400,1446,46,1,3,2110,2149,39,1,2,2504,38,0,0,0,1
1,1/5/2015,AA,59,12892,1289203,32575,"Los Angeles, CA",California,12758,1275803,32758,"Kona, HI",Hawaii,840,845,5,0,0,1230,1231,1,0,0,2504,,,,,
1,1/5/2015,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1920,2034,74,1,4,645,809,84,1,5,3784,5,0,10,0,69
1,1/12/2015,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1930,1915,-15,0,-1,654,632,-22,0,-2,3784,,,,,
1,1/19/2015,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1930,1926,-4,0,-1,654,636,-18,0,-2,3784,,,,,
1,1/26/2015,AA,102,12173,1217302,32134,"Honolulu, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1930,1923,-7,0,-1,654,648,-6,0,-1,3784,,,,,
1,1/5/2015,AA,161,12892,1289203,32575,"Los Angeles, CA",California,13830,1383002,33830,"Kahului, HI",Hawaii,1735,1804,29,1,1,2130,2207,37,1,2,2486,0,0,8,0,29
1,1/5/2015,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1340,1338,-2,0,-1,2110,2105,-5,0,-1,2556,,,,,
1,1/12/2015,AA,162,12173,1217302,32134,"Honolulu, HI",Hawaii,12892,1289203,32575,"Los Angeles, CA",California,1338,1327,-11,0,-1,2103,2103,0,0,0,2556,,,,,
