DAY_OF_WEEK,FL_DATE,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,ARR_DELAY_GROUP,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1,12/15/2014,AA,31,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,805,832,27,1,1,1210,1223,13,0,0,2556,,,,,
1,12/22/2014,AA,31,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,805,809,4,0,0,1210,1202,-8,0,-1,2556,,,,,
1,12/29/2014,AA,31,12892,1289203,32575,"Los Angeles, CA",California,12173,1217302,32134,"Honolulu, HI",Hawaii,805,802,-3,0,-1,1210,1151,-19,0,-2,2556,,,,,
1,12/22/2014,AA,116,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1955,1949,-6,0,-1,705,649,-16,0,-2,3711,,,,,
1,12/29/2014,AA,116,13830,1383002,33830,"Kahului, HI",Hawaii,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,1955,,,,,705,,,,,3711,,,,,
1,12/22/2014,AA,119,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,13830,1383002,33830,"Kahului, HI",Hawaii,1030,1032,2,0,0,1450,1505,15,1,1,3711,0,0,15,0,0
1,12/29/2014,AA,119,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,13830,1383002,33830,"Kahului, HI",Hawaii,1030,,,,,1450,,,,,3711,,,,,
1,12/1/2014,AA,123,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1055,1226,91,1,6,1525,1658,93,1,6,3784,91,0,2,0,0
1,12/8/2014,AA,123,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1055,1056,1,0,0,1525,1512,-13,0,-1,3784,,,,,
1,12/15/2014,AA,123,11298,1129803,30194,"Dallas/Fort Worth, TX",Texas,12173,1217302,32134,"Honolulu, HI",Hawaii,1055,1055,0,0,0,1525,1544,19,1,1,3784,0,0,19,0,0
